SKU,Title,Barcode
SQDR45115,"Danielson SQDR45115 Squid Rigged 4.5"" Glow/Blue Streak/Spl",032054072245
SQD752130,"Danielson SQD752130 Squid Bait 7.5"" UV Clear Glitter/Glostr 2pk",032054071835
SQD752126,"Danielson SQD752126 Squid Bait 7.5"" uttl Glow/Red Eye 2pk",032054071859
SQD453145,"Danielson SQD453145 Squid Bait 4.5"" White/Silver Glitter 3pk",032054071385
SQD453130,"Danielson SQD453130 Squid Bait 4.5"" UV Chartreuse/Green 3pk",032054071125
SQD453123,"Danielson SQD453123 Squid Bait 4.5"" Purple, Light Blue Glow 3pk",032054071323
SQD453117,"Danielson SQD453117 Squid Bait 4.5"" Glow/Green 3pk",032054071200
SQD453112,"Danielson SQD453112 Squid Bait 4.5"" Glow/Bl Streak 3pk",032054071149
SQD4510137,"Danielson SQD4510137 Squid Bait 4.5"" UV Green Blue Black Stripe 10pk",032054071514
SQD4510128,"Danielson SQD4510128 Squid Bait 4.5"" Army Truck Green/Red 10pk",032054071521
SQD4510116,"Danielson SQD4510116 Squid Bait 4.5"" Glow/Chartreuse Stripe 10pk",032054071576
SQD121126,DANIELSON SQUID GLOW / RED EYE,032054072023
